,Market Dataset,ecoinvent location,Market group location,Peak power (kWp),Installation,Technology,Placement,Build,Placement2
270,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , multi-Si, panel, mounted, on roof
271,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , single-Si, laminated, integrated, on roof
272,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , single-Si, panel, mounted, on roof
273,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , CIS, laminated, integrated, on roof
274,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , CdTe, panel, mounted, on roof
275,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
276,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , micro-Si, panel, mounted, on roof
277,"market for electricity, low voltage",ES,WEU, 3, facade , multi-Si, laminated, integrated, at building
278,"market for electricity, low voltage",ES,WEU, 3, facade , multi-Si, panel, mounted, at building
279,"market for electricity, low voltage",ES,WEU, 3, facade , single-Si, laminated, integrated, at building
280,"market for electricity, low voltage",ES,WEU, 3, facade , single-Si, panel, mounted, at building
281,"market for electricity, low voltage",ES,WEU, 3, flat-roof , multi-Si, on roof,,
282,"market for electricity, low voltage",ES,WEU, 3, flat-roof , single-Si, on roof,,
283,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , CIS, panel, mounted, on roof
284,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , CdTe, laminated, integrated, on roof
285,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , multi-Si, laminated, integrated, on roof
286,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , multi-Si, panel, mounted, on roof
287,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , single-Si, laminated, integrated, on roof
288,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , single-Si, panel, mounted, on roof
289,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , CIS, laminated, integrated, on roof
290,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , CdTe, panel, mounted, on roof
291,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
292,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , micro-Si, panel, mounted, on roof
293,"market for electricity, low voltage",ES,WEU, 3, facade , multi-Si, laminated, integrated, at building
294,"market for electricity, low voltage",ES,WEU, 3, facade , multi-Si, panel, mounted, at building
